company,financial_attention,financial_course,risk_preference,lottery_preference,answer_interest_rate,knowledge_interest_rate,answer_inflation_rate,knowledge_inflation_rate,answer_stock_fund,knowledge_stock_fund,factor_calculate,factor_judge,factor_attention
201500292,,,,,,,,,,,,,
201500293,,,,,,,,,,,,,
201500294,,,,,,,,,,,,,
201500295,2,0,3,1,0,1,0,0,1,1,-0.714420752,0.942561385,-1.1369775
201500296,,,,,,,,,,,,,
201500297,3,0,4,2,0,0,0,0,1,1,-1.332440082,0.467026824,-0.414550225
201500300,,,,,,,,,,,,,
201500301,,,,,,,,,,,,,
201500302,,,,,,,,,,,,,
201500303,,,,,,,,,,,,,
201500305,,,,,,,,,,,,,
201500306,,,,,,,,,,,,,
201500307,4,0,3,2,1,1,0,0,0,1,-0.098738777,0.085580226,-0.419922576
201500308,5,1,4,2,1,1,0,0,1,1,-0.372916256,0.990097672,1.341557664
201500309,,,,,,,,,,,,,
201500310,,,,,,,,,,,,,
201500311,,,,,,,,,,,,,
201500312,5,1,5,1,0,1,1,1,1,1,0.765834967,0.178287974,1.994768617
201500313,,,,,,,,,,,,,
201500314,,,,,,,,,,,,,
201500315,,,,,,,,,,,,,
201500316,,,,,,,,,,,,,
201500317,,,,,,,,,,,,,
201500318,,,,,,,,,,,,,
201500319,,,,,,,,,,,,,
201500320,5,0,3,1,1,1,1,1,0,0,1.681867018,-1.705047151,0.344936783
201500321,,,,,,,,,,,,,
201500322,,,,,,,,,,,,,
201500323,,,,,,,,,,,,,
201500324,,,,,,,,,,,,,
201500325,,,,,,,,,,,,,
201500326,,,,,,,,,,,,,
201500327,,,,,,,,,,,,,
201500328,,,,,,,,,,,,,
201500329,4,0,3,1,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500330,,,,,,,,,,,,,
201500331,,,,,,,,,,,,,
201500332,,,,,,,,,,,,,
201500333,,,,,,,,,,,,,
201500334,,,,,,,,,,,,,
201500335,,,,,,,,,,,,,
201500336,,,,,,,,,,,,,
201500337,,,,,,,,,,,,,
201500338,,,,,,,,,,,,,
201500339,,,,,,,,,,,,,
201500340,,,,,,,,,,,,,
201500341,,,,,,,,,,,,,
201500343,,,,,,,,,,,,,
201500344,,,,,,,,,,,,,
201500345,,,,,,,,,,,,,
201500346,4,0,4,1,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500347,,,,,,,,,,,,,
201500348,,,,,,,,,,,,,
201500349,,,,,,,,,,,,,
201500350,3,0,3,2,1,1,1,1,0,1,1.640138478,-0.460181242,-0.678258493
201500351,,,,,,,,,,,,,
201500352,,,,,,,,,,,,,
201500353,4,1,4,2,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500354,,,,,,,,,,,,,
201500355,,,,,,,,,,,,,
201500356,,,,,,,,,,,,,
201500357,,,,,,,,,,,,,
201500358,,,,,,,,,,,,,
201500359,5,1,3,2,1,1,0,1,1,1,0.465537762,0.733949838,1.420831082
201500360,,,,,,,,,,,,,
201500361,,,,,,,,,,,,,
201500362,,,,,,,,,,,,,
201500363,,,,,,,,,,,,,
201500364,,,,,,,,,,,,,
201500365,,,,,,,,,,,,,
201500366,,,,,,,,,,,,,
201500367,,,,,,,,,,,,,
201500368,,,,,,,,,,,,,
201500369,,,,,,,,,,,,,
201500370,,,,,,,,,,,,,
201500371,3,1,4,2,1,1,1,1,0,1,1.497619603,-0.574286607,0.648197616
201500372,,,,,,,,,,,,,
201500373,,,,,,,,,,,,,
201500374,2,0,2,1,0,1,0,0,0,0,-0.512007945,-1.294825689,-1.064712835
201500375,2,0,,,0,0,0,0,0,0,-1.10100161,-1.744258606,-0.858192042
201500376,,,,,,,,,,,,,
201500377,,,,,,,,,,,,,
201500378,,,,,,,,,,,,,
201500379,,,,,,,,,,,,,
201500380,,,,,,,,,,,,,
201500381,4,1,3,2,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500382,5,0,5,2,0,1,1,1,0,1,1.010986781,-0.752331116,0.749194859
201500383,,,,,,,,,,,,,
201500384,,,,,,,,,,,,,
201500385,,,,,,,,,,,,,
201500386,2,0,5,1,1,1,1,1,1,1,1.566531206,0.610644857,-1.275047326
201500387,,,,,,,,,,,,,
201500388,,,,,,,,,,,,,
201500389,,,,,,,,,,,,,
201500390,,,,,,,,,,,,,
201500391,,,,,,,,,,,,,
201500392,,,,,,,,,,,,,
201500393,,,,,,,,,,,,,
201500394,,,,,,,,,,,,,
201500395,,,,,,,,,,,,,
201500396,,,,,,,,,,,,,
201500397,,,,,,,,,,,,,
201500398,,,,,,,,,,,,,
201500399,,,,,,,,,,,,,
201500400,,,,,,,,,,,,,
201500401,,,,,,,,,,,,,
201500402,,,,,,,,,,,,,
201500403,,,,,,,,,,,,,
201500404,,,,,,,,,,,,,
201500405,,,,,,,,,,,,,
201500406,4,1,4,1,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500407,,,,,,,,,,,,,
201500408,,,,,,,,,,,,,
201500409,,,,,,,,,,,,,
201500410,,,,,,,,,,,,,
201500411,,,,,,,,,,,,,
201500412,,,,,,,,,,,,,
201500413,,,,,,,,,,,,,
201500414,,,,,,,,,,,,,
201500415,,,,,,,,,,,,,
201500416,,,,,,,,,,,,,
201500417,5,0,2,2,1,1,1,1,1,1,1.479454211,0.532339924,0.272672119
201500418,,,,,,,,,,,,,
201500419,,,,,,,,,,,,,
201500420,,,,,,,,,,,,,
201500421,,,,,,,,,,,,,
201500422,,,,,,,,,,,,,
201500423,,,,,,,,,,,,,
201500424,,,,,,,,,,,,,
201500425,,,,,,,,,,,,,
201500426,4,0,4,1,0,1,0,1,1,1,0.065981936,0.634210263,-0.02589112
201500427,,,,,,,,,,,,,
201500428,,,,,,,,,,,,,
201500429,4,0,4,2,1,1,0,1,1,1,0.637082303,0.874156848,-0.421531509
201500430,,,,,,,,,,,,,
201500431,,,,,,,,,,,,,
201500432,,,,,,,,,,,,,
201500433,,,,,,,,,,,,,
201500434,,,,,,,,,,,,,
201500435,3,0,2,2,1,1,0,0,1,1,-0.17234605,1.156406325,-1.016711408
201500436,,,,,,,,,,,,,
201500437,,,,,,,,,,,,,
201500438,,,,,,,,,,,,,
201500439,,,,,,,,,,,,,
201500440,,,,,,,,,,,,,
201500441,,,,,,,,,,,,,
201500442,2,0,3,1,0,1,0,0,1,1,-0.714420752,0.942561385,-1.1369775
201500443,4,0,4,2,1,1,0,0,0,1,-0.098738777,0.085580226,-0.419922576
201500444,,,,,,,,,,,,,
201500445,3,1,2,1,1,1,1,1,1,1,1.394986665,0.470437848,0.567315265
201500446,,,,,,,,,,,,,
201500447,4,0,4,1,0,1,0,0,1,1,-0.772472082,0.890358096,-0.105164538
201500448,,,,,,,,,,,,,
201500449,,,,,,,,,,,,,
201500450,5,1,3,1,1,1,1,1,1,1,1.336935335,0.418234559,1.599128228
201500451,,,,,,,,,,,,,
201500453,,,,,,,,,,,,,
201500454,2,0,1,1,0,1,0,1,0,1,0.226666204,-0.358310903,-0.976821731
201500455,,,,,,,,,,,,,
201500456,,,,,,,,,,,,,
201500457,,,,,,,,,,,,,
201500458,,,,,,,,,,,,,
201500459,,,,,,,,,,,,,
201500460,,,,,,,,,,,,,
201500461,,,,,,,,,,,,,
201500462,,,,,,,,,,,,,
201500463,5,1,2,2,1,1,1,1,1,1,1.336935335,0.418234559,1.599128228
201500464,,,,,,,,,,,,,
201500465,,,,,,,,,,,,,
201500466,4,0,3,1,1,1,1,1,0,0,1.710892683,-1.678945506,-0.170969698
201500467,,,,,,,,,,,,,
201500468,3,1,3,2,0,1,0,0,1,1,-0.885965293,0.802354376,0.70538509
201500469,,,,,,,,,,,,,
201500470,,,,,,,,,,,,,
201500471,,,,,,,,,,,,,
201500472,4,0,4,1,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500473,,,,,,,,,,,,,
201500474,,,,,,,,,,,,,
201500475,,,,,,,,,,,,,
201500476,,,,,,,,,,,,,
201500477,2,0,3,1,1,1,1,1,1,1,1.566531206,0.610644857,-1.275047326
201500478,,,,,,,,,,,,,
201500479,,,,,,,,,,,,,
201500480,,,,,,,,,,,,,
201500481,,,,,,,,,,,,,
201500482,,,,,,,,,,,,,
201500483,,,,,,,,,,,,,
201500484,,,,,,,,,,,,,
201500485,,,,,,,,,,,,,
201500486,5,1,3,2,1,1,0,0,0,1,-0.270283318,-0.054626784,1.422440015
201500487,,,,,,,,,,,,,
201500488,,,,,,,,,,,,,
201500490,5,1,5,1,1,1,0,0,0,1,-0.270283318,-0.054626784,1.422440015
201500491,,,,,,,,,,,,,
201500492,5,0,3,1,1,1,1,1,1,1,1.479454211,0.532339924,0.272672119
201500493,1,0,1,1,0,0,0,0,0,1,-1.171755814,-0.525494342,-1.365480837
201500494,5,0,2,2,1,1,1,1,1,1,1.479454211,0.532339924,0.272672119
201500495,5,1,2,2,0,0,0,0,0,1,-1.43037735,-0.744006285,2.024601198
201500496,,,,,,,,,,,,,
201500497,,,,,,,,,,,,,
201500498,,,,,,,,,,,,,
201500499,4,1,3,1,0,1,1,1,0,1,0.89749357,-0.840334837,1.559744486
201500500,,,,,,,,,,,,,
201500501,,,,,,,,,,,,,
201500502,,,,,,,,,,,,,
201500503,,,,,,,,,,,,,
201500504,4,0,5,1,,,,,1,1,,,
201500505,3,1,2,1,1,1,1,1,0,0,1.597399472,-1.766949226,0.63957993
201500506,4,1,4,1,0,1,0,0,0,1,-0.81235802,-0.268471724,1.302173922
201500507,,,,,,,,,,,,,
201500508,,,,,,,,,,,,,
201500509,,,,,,,,,,,,,
201500510,,,,,,,,,,,,,
201500511,,,,,,,,,,,,,
201500512,5,0,2,2,1,1,0,0,0,1,-0.127764442,0.059478581,0.095983905
201500513,,,,,,,,,,,,,
201500514,,,,,,,,,,,,,
201500515,,,,,,,,,,,,,
201500516,,,,,,,,,,,,,
201500517,,,,,,,,,,,,,
201500518,,,,,,,,,,,,,
201500519,,,,,,,,,,,,,
201500520,,,,,,,,,,,,,
201500521,4,0,3,1,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500523,,,,,,,,,,,,,
201500525,,,,,,,,,,,,,
201500526,,,,,,,,,,,,,
201500527,,,,,,,,,,,,,
201500528,,,,,,,,,,,,,
201500530,,,,,,,,,,,,,
201500531,1,0,4,1,0,0,0,0,1,1,-1.274388752,0.519230113,-1.446363188
201500532,,,,,,,,,,,,,
201500534,,,,,,,,,,,,,
201500535,5,1,3,2,0,1,0,0,1,1,-0.944016623,0.750151087,1.737198053
201500536,,,,,,,,,,,,,
201500537,5,1,3,2,0,1,0,0,1,1,-0.944016623,0.750151087,1.737198053
201500538,,,,,,,,,,,,,
201500539,,,,,,,,,,,,,
201500540,,,,,,,,,,,,,
201500541,3,0,3,2,1,1,1,1,1,1,1.537505541,0.584543213,-0.759140844
201500542,,,,,,,,,,,,,
201500543,,,,,,,,,,,,,
201500544,,,,,,,,,,,,,
201500545,,,,,,,,,,,,,
201500546,3,1,4,,0,1,0,0,0,1,-0.783332355,-0.242370079,0.786267441
201500547,,,,,,,,,,,,,
201500548,,,,,,,,,,,,,
201500549,,,,,,,,,,,,,
201500551,,,,,,,,,,,,,
201500553,,,,,,,,,,,,,
201500554,,,,,,,,,,,,,
201500556,,,,,,,,,,,,,
201500557,,,,,,,,,,,,,
201500558,,,,,,,,,,,,,
201500559,,,,,,,,,,,,,
201500560,,,,,,,,,,,,,
201500561,,,,,,,,,,,,,
201500562,,,,,,,,,,,,,
201500563,,,,,,,,,,,,,
201500564,3,0,3,1,1,1,1,1,0,1,1.640138478,-0.460181242,-0.678258493
201500565,,,,,,,,,,,,,
201500566,,,,,,,,,,,,,
201500567,,,,,,,,,,,,,
201500568,,,,,,,,,,,,,
201500569,,,,,,,,,,,,,
201500570,,,,,,,,,,,,,
201500571,,,,,,,,,,,,,
201500572,,,,,,,,,,,,,
201500573,,,,,,,,,,,,,
201500574,,,,,,,,,,,,,
201500575,5,0,2,1,1,1,0,0,1,1,-0.23039738,1.104203036,0.015101555
201500576,,,,,,,,,,,,,
201500577,3,0,4,1,0,0,0,0,1,1,-1.332440082,0.467026824,-0.414550225
201500578,5,0,1,2,0,0,0,0,1,1,-1.390491412,0.414823535,0.617262738
201500579,,,,,,,,,,,,,
201500580,4,1,3,1,0,0,0,0,1,1,-1.503984623,0.326819815,1.427812365
201500581,2,1,3,2,0,0,0,0,0,0,-1.243520486,-1.858363971,0.468264068
201500582,5,0,3,2,0,1,0,0,1,1,-0.801497747,0.864256451,0.410741944
201500583,,,,,,,,,,,,,
201500584,,,,,,,,,,,,,
201500585,,,,,,,,,,,,,
201500586,4,1,5,2,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500587,,,,,,,,,,,,,
201500588,,,,,,,,,,,,,
201500589,,,,,,,,,,,,,
201500590,,,,,,,,,,,,,
201500591,,,,,,,,,,,,,
201500592,,,,,,,,,,,,,
201500593,,,,,,,,,,,,,
201500594,2,0,3,1,0,0,0,0,1,1,-1.303414417,0.493128468,-0.930456706
201500595,3,0,5,1,0,1,0,0,1,1,-0.743446417,0.916459741,-0.621071019
201500596,3,0,2,1,1,1,0,0,1,1,-0.17234605,1.156406325,-1.016711408
201500597,2,0,3,2,1,1,1,1,1,1,1.566531206,0.610644857,-1.275047326
201500598,,,,,,,,,,,,,
201500599,4,0,2,2,0,0,0,0,1,1,-1.361465747,0.440925179,0.101356256
201500600,,,,,,,,,,,,,
201500601,3,0,3,1,0,1,0,1,1,1,0.095007601,0.660311907,-0.541797601
201500602,,,,,,,,,,,,,
201500603,4,1,5,2,0,1,0,0,0,1,-0.81235802,-0.268471724,1.302173922
201500604,,,,,,,,,,,,,
201500605,2,0,1,2,0,1,0,0,1,1,-0.714420752,0.942561385,-1.1369775
201500606,5,1,3,2,1,1,1,1,1,1,1.336935335,0.418234559,1.599128228
201500607,,,,,,,,,,,,,
201500608,,,,,,,,,,,,,
201500609,,,,,,,,,,,,,
201500610,,,,,,,,,,,,,
201500611,,,,,,,,,,,,,
201500612,2,0,2,2,0,0,0,0,1,1,-1.303414417,0.493128468,-0.930456706
201500613,,,,,,,,,,,,,
201500614,3,0,1,2,1,1,0,0,1,1,-0.17234605,1.156406325,-1.016711408
201500615,4,0,1,1,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500616,,,,,,,,,,,,,
201500617,,,,,,,,,,,,,
201500618,4,1,1,2,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500619,,,,,,,,,,,,,
201500620,,,,,,,,,,,,,
201500621,,,,,,,,,,,,,
201500622,,,,,,,,,,,,,
201500624,,,,,,,,,,,,,
201500625,3,0,3,1,1,1,0,0,1,1,-0.17234605,1.156406325,-1.016711408
201500626,,,,,,,,,,,,,
201500627,5,0,3,1,0,1,0,0,0,1,-0.69886481,-0.180468004,0.491624295
201500629,,,,,,,,,,,,,
201500630,,,,,,,,,,,,,
201500631,,,,,,,,,,,,,
201500632,,,,,,,,,,,,,
201500633,2,0,5,1,0,0,0,0,0,0,-1.10100161,-1.744258606,-0.858192042
201500634,,,,,,,,,,,,,
201500635,,,,,,,,,,,,,
201500636,,,,,,,,,,,,,
201500637,4,1,5,1,1,1,1,1,1,1,1.365961,0.444336203,1.083221746
201500638,5,1,3,2,1,1,1,1,1,1,1.336935335,0.418234559,1.599128228
201500639,,,,,,,,,,,,,
201500640,5,1,2,1,1,1,1,1,1,1,1.336935335,0.418234559,1.599128228
201500642,,,,,,,,,,,,,
201500643,,,,,,,,,,,,,
201500644,,,,,,,,,,,,,
201500645,,,,,,,,,,,,,
201500646,5,0,4,2,0,0,0,0,0,0,-1.188078605,-1.82256354,0.689527402
201500647,,,,,,,,,,,,,
201500648,2,0,3,1,1,1,1,1,0,0,1.768944013,-1.626742217,-1.202782661
201500649,2,0,5,1,0,1,0,0,1,1,-0.714420752,0.942561385,-1.1369775
201500650,3,1,3,1,0,0,0,0,1,1,-1.474958958,0.352921459,0.911905884
201500651,,,,,,,,,,,,,
201500652,,,,,,,,,,,,,
