bank_loan_restrict_rate,DFH,size,age,age^2,asset,tax_tolerance,employee_number,gdp_2_proportion,reserve_rate,loan_rate_annual,industry,company_ownership,bank_type,industry,company,region,is_bank_loan,is_need_bank_loan,is_need_bank_loan_pro,no_apply_bank_loan_reason_1,no_apply_bank_loan_reason_2,no_apply_bank_loan_reason_3,no_apply_bank_loan_reason_4,no_apply_bank_loan_reason_5,no_apply_bank_loan_reason_6,no_apply_bank_loan_reason_7,no_apply_bank_loan_reason_8,no_receive_bank_loan_reason_1,no_receive_bank_loan_reason_2,no_receive_bank_loan_reason_3,no_receive_bank_loan_reason_4,no_receive_bank_loan_reason_5,no_receive_bank_loan_reason_6,no_receive_bank_loan_reason_7,no_receive_bank_loan_reason_8,is_private_loan,is_need_private_loan
0.0,5.482844821891153,16.118095750958314,4.882801922586371,9.750452916367069,14.508658238524095,5.0,2.079441541679836,34.6564,1.62,3.85,3.0,3.0,1.0,3.0,201501243,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.815511557963774,4.418840607796598,8.81358720447004,12.611541086966117,4.0,1.3862943611198906,34.6564,1.62,3.85,3.0,3.0,3.0,3.0,201501246,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.914123179965662,4.804021044733257,9.591649390206587,14.508658238524095,5.0,1.9459101490553128,34.6564,1.62,3.85,3.0,3.0,9.0,3.0,201501250,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.081543466215235,4.0943445622221,8.155362120328135,11.51293546492023,4.0,1.0986122886681098,34.6564,1.62,3.85,3.0,3.0,2.0,3.0,201501251,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,10.819798284210286,4.867534450455582,9.719684899460376,11.918397239722838,2.0,1.3862943611198906,34.6564,1.62,3.85,3.0,3.0,4.0,3.0,201501253,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,19.11382792951231,4.543294782270004,9.065314599925925,17.216707972959764,3.0,4.795790545596741,34.6564,1.62,3.85,4.0,3.0,10.0,4.0,201501254,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.765691290604371,3.8918202981106265,7.742835955430749,13.527829818844936,3.0,3.044522437723423,34.6564,1.62,3.85,7.0,3.0,5.0,7.0,201501255,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,15.76142084987672,4.174387269895637,8.318010277546872,14.914123179965662,3.0,1.9459101490553128,34.6564,1.62,3.85,5.0,3.0,4.0,5.0,201501256,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.914123179965662,3.4657359027997265,6.8690144506657065,15.424948670398354,4.0,2.19722457733622,34.6564,1.62,3.85,3.0,3.0,1.0,3.0,201501257,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,15.537562793466565,5.351858133476067,10.694237736914808,19.70134331095509,4.0,3.9318256327243257,34.6564,1.62,3.33854794520548,13.0,3.0,5.0,13.0,201501259,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,11.225256725762891,3.828641396489095,7.613818684808629,10.819798284210286,5.0,0.6931471805599453,34.6564,1.62,3.85,3.0,3.0,4.0,3.0,201501260,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.508658238524095,4.8283137373023015,9.640628165515691,11.918397239722838,3.0,1.6094379124341005,34.6564,1.62,3.85,3.0,3.0,2.0,3.0,201501261,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,15.607270193858982,5.402677381872279,10.79634587742716,13.527829818844936,5.0,2.079441541679836,34.6564,1.62,3.33854794520548,3.0,3.0,0.0,3.0,201501262,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.899222326086994,5.214935757608986,10.41900216578825,15.201805169084134,3.0,1.3862943611198906,34.6564,1.62,3.85,3.0,3.0,4.0,3.0,201501263,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.508658238524095,4.927253685157205,9.840015129580555,12.765691290604371,4.0,1.791759469228055,34.6564,1.62,3.85,3.0,3.0,5.0,3.0,201501264,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.304686600863562,4.672828834461906,9.326967183907902,13.122365377402328,3.0,1.0986122886681098,34.6564,1.62,3.85,3.0,3.0,4.0,3.0,201501265,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,11.918397239722838,3.218875824868201,6.3578422665081,13.122365377402328,5.0,1.0986122886681098,34.6564,1.62,3.85,3.0,3.0,2.0,3.0,201501266,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.765691290604371,4.74493212836325,9.47247384058159,13.122365377402328,5.0,1.0986122886681098,34.6564,1.62,3.85,3.0,3.0,2.0,3.0,201501267,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
