year,province,gdp,gdp_1,gdp_2,gdp_3,gdp_per,gdp_1_proportion,gdp_2_proportion,gdp_3_proportion,gdp_index,gdp_index_1,gdp_index_2,gdp_index_3,gdp_index_per
1964,湖北省,61.43,32.22,16.94,12.27,182,52.4499,27.5761,19.974,111.8,101.4,142.4,107.9,
1964,湖南省,57.36,30.41,15.6,11.35,153,53.016,27.1967,19.7873,118.8,115.5,141,103,
1964,广东省,81.63,37.02,24.12,20.49,218.96,45.351,29.548,25.1011,114.07,108.43,128.7,111.58,
1964,广西壮族自治区,27.18,14.4,7.09,5.69,116.62,52.9801,26.0854,20.9345,106.71,118.88,99.68,98.87,
1964,四川省,75.76,44.08,15.46,16.21,152,58.1837,20.4065,21.3965,,,,,
1964,贵州省,19.75,13.07,3.74,2.94,114,66.1772,18.9367,14.8861,117.4,116.9,126.3,109.9,
1964,云南省,29.25,16.18,8.19,4.88,142,55.3162,28,16.6838,114.5,116.1,115.7,107.5,
1964,陕西省,29.34,13.33,9.44,6.57,141,45.4329,32.1745,22.3926,112,109.6,119.3,107.3,
1964,甘肃省,19.66,6.88,8.65,4.13,152,34.9949,43.998,21.0071,123.63,119.2,134.86,112.43,
1964,青海省,5.57,3.12,1.04,1.41,257,56.0144,18.6715,25.3142,112.23,110.79,125,107.3,
1964,宁夏回族自治区,4.09,1.98,0.97,1.14,194,48.4108,23.7164,27.8729,109.9,109.6,116,105.5,
1964,新疆维吾尔自治区,21.55,11.29,6.29,3.97,292,52.3898,29.1879,18.4223,113.5,113.4,110.3,120.3,
1965,北京市,39.79,4.96,23.5,11.33,516,12.4654,59.0601,28.4745,116.4,106.1,118.1,116.5,
1965,天津市,35.96,3.91,22.96,9.09,571,10.8732,63.8487,25.2781,121.5,169.4,115.9,115.4,
1965,河北省,72.72,37.2,19.99,15.53,180,51.1551,27.489,21.3559,122.9,128.4,125.7,111.6,
1965,山西省,43.9,12.7,20.5,10.7,238,28.9294,46.697,24.3736,118.8,103.1,135.2,117.4,
1965,内蒙古自治区,35.41,15.21,12.08,8.12,275,42.954,34.1147,22.9314,109.8,105.9,113.6,112.6,
1965,中国,1734,651.1,608.5,474.4,242,37.5,35.1,27.4,117.03,109.68,124.23,115.83,114.28
1965,辽宁省,103.15,20.2,62.6,20.35,372,19.5831,60.6883,19.7286,122.8,107.6,130.9,114.1,
1965,吉林省,42.93,13.19,20.68,9.06,262,30.7244,48.1714,21.1041,113.3,110.9,119.2,103.1,
1965,黑龙江省,78.86,19.63,40.13,19.1,377,24.8922,50.8876,24.2201,115.4,116.7,121.5,104.6,
1965,上海市,113.55,6.5,82.92,24.13,1042,5.7244,73.0251,21.2506,122.6,103.99,128,109.52,
1965,江苏省,95.1,41.2,30.26,23.64,208,43.3228,31.8191,24.858,107.1,101.3,130.8,103.1,
1965,浙江省,55.67,25.97,16.93,12.77,191,46.6499,30.4114,22.9387,110.32,105.12,120.18,107.8,
1965,安徽省,52.75,28.09,14.56,10.1,163,53.2512,27.6019,19.1469,118.07,120.35,126.21,101.84,
1965,福建省,28.81,13.48,8.31,7.02,166,46.7893,28.8442,24.3665,110.9,111.5,120.3,100.4,
1965,江西省,42.98,24.16,10.22,8.6,197,56.2122,23.7785,20.0093,115.2,108.7,153.5,103.2,
1965,山东省,86.25,42.24,28.96,15.05,152,48.9739,33.5768,17.4493,121.98,126.62,129.96,102.5,
1965,河南省,62.96,29.58,19.1,14.28,121.8,46.9822,30.3367,22.6811,124.5,129.4,128.7,104.5,
1965,湖北省,72.43,37.74,21.16,13.53,209,52.1055,29.2144,18.6801,118.1,111.5,132.5,114.9,
1965,湖南省,65.32,34,19.17,12.15,170,52.0514,29.3478,18.6007,113.1,104.3,129.1,110.9,
1965,广东省,87,37.29,27.83,21.88,227.45,42.8621,31.9885,25.1494,111.46,111.52,116,106.3,
1965,广西壮族自治区,31.45,17.13,8.46,5.86,130.8,54.4674,26.8998,18.6328,109.94,113.03,116.97,98.13,
1965,四川省,86.49,48.62,20.76,17.11,168,56.2146,24.0028,19.7826,170.8,117.9,474.3,179.3,
1965,贵州省,24.41,15.25,5.63,3.53,136,62.4744,23.0643,14.4613,119.7,110.6,149.8,114.9,
1965,云南省,33.62,17.31,11.01,5.3,158,51.4872,32.7484,15.7644,116.5,106.8,136,110.8,
1965,陕西省,35.93,17.51,11.78,6.64,169,48.7336,32.786,18.4804,132,137.1,138,108.3,
1965,甘肃省,24.98,7.74,12.74,4.5,186,30.9848,51.0008,18.0144,124.67,115.05,140.86,108.85,
1965,青海省,6.14,3.36,1.28,1.5,271,54.7231,20.8469,24.43,112.45,110.49,127,106.12,
1965,宁夏回族自治区,4.66,2.24,1.24,1.18,211,48.0687,26.6094,25.3219,116.8,117,132,103.3,
1965,新疆维吾尔自治区,24.2,12.48,7.32,4.4,312,51.5702,30.2479,18.1818,113.9,112.9,116.7,112.4,
1966,北京市,44.41,5.24,28.41,10.76,575,11.7991,63.9721,24.2288,111,104.3,118.8,94.9,
1966,天津市,39.31,2.69,26.87,9.75,618,6.843,68.3541,24.8028,106.2,68.7,115.1,108,
1966,河北省,80.24,40.12,22.42,17.7,194,50,27.9412,22.0588,112,107.2,116.5,113.3,
1966,山西省,49.7,14.2,24.3,11.1,263,28.5714,48.8934,22.334,107.4,99.7,114.4,105.4,
1966,内蒙古自治区,38.32,17.12,13.01,8.19,289,44.6764,33.9509,21.3727,110,112.4,114.4,99.7,
1966,中国,1888.7,702.2,715.4,471,257,37.2,37.9,24.9,110.73,107.23,122.43,98.1,107.69
1966,辽宁省,112.61,22.6,69.47,20.54,397,20.0693,61.6908,18.2399,112.7,101.4,117.9,105.9,
1966,吉林省,46.67,16.26,20.96,9.45,277,34.8404,44.9111,20.2486,108.3,105.6,110.7,106,
1966,黑龙江省,92.06,23.29,48.55,20.22,426,25.2987,52.7373,21.9639,116.6,118.7,121.1,105.7,
1966,上海市,124.81,6.8,92.27,25.74,1140,5.4483,73.9284,20.6233,112.5,111.23,113.59,109.09,
1966,江苏省,109.89,47.53,35.51,26.85,235,43.2523,32.3141,24.4335,117.3,116.5,121.1,115.4,
1966,浙江省,58.28,28.01,17.01,13.26,195,48.0611,29.1867,22.7522,102.06,102.29,100.27,104.02,
1966,安徽省,59.82,32.13,17.08,10.61,179,53.7111,28.5523,17.7365,106.12,105.84,112.96,99.85,
1966,福建省,32.13,15.16,9.62,7.35,180,47.1833,29.9409,22.8758,111.6,109.2,118,107,
1966,江西省,48.4,27.14,11.26,10,215,56.0744,23.2645,20.6612,106.5,103.9,102.6,132.5,
1966,山东省,97.58,46.99,34.44,16.15,169,48.1554,35.2941,16.5505,116.33,114.21,123.38,107.91,
1966,河南省,76.39,35.07,26.64,14.68,143.8,45.9092,34.8737,19.2172,120.8,115.7,146.9,103.1,
1966,湖北省,83.95,45.77,24.58,13.6,236,54.5205,29.2793,16.2001,103.3,104.8,102.2,101.2,
1966,湖南省,72.73,37.3,22.16,13.27,184,51.2856,30.4689,18.2456,112.8,109.1,119.9,109.2,
1966,广东省,96.4,41.04,32.81,22.55,245.17,42.5726,34.0353,23.3921,103.61,100.3,107.29,106.09,
1966,广西壮族自治区,31.68,16.5,8.73,6.45,127.38,52.0833,27.5568,20.3598,100.28,97.47,95.74,110.67,
1966,四川省,96.25,55.83,22.83,17.6,181,58.0052,23.7195,18.2857,,,,,
1966,贵州省,24.78,14.9,6.04,3.84,134,60.1291,24.3745,15.4964,97.4,91.4,106.9,101.9,
1966,云南省,36.39,18.37,12.18,5.84,166,50.4809,33.4707,16.0484,109.7,106.1,114.1,110.8,
1966,陕西省,40.47,16.59,15.97,7.91,187,40.9933,39.4613,19.5453,110.3,91.7,134.3,122.2,
1966,甘肃省,24.23,6.78,13.08,4.37,174,27.9818,53.9827,18.0355,98.53,83.24,108.43,99.32,
1966,青海省,6.42,3.12,1.64,1.66,270,48.5981,25.5452,25.8567,107.09,92.88,133.07,112.82,
1966,宁夏回族自治区,5.41,2.42,1.64,1.35,234,44.732,30.3142,24.9538,116.2,100.9,139,114.2,
1966,新疆维吾尔自治区,26.78,13.81,8.17,4.81,325,51.5683,30.5078,17.9612,112,111.2,112.1,114.2,
1967,北京市,37.86,5.3,22.37,10.19,488,13.9989,59.0861,26.9149,88.1,99.5,84.7,93.9,
1967,天津市,33.62,3.5,20.93,9.19,524,10.4105,62.2546,27.3349,87.9,127.7,78.7,94.9,
1967,河北省,78.11,40.06,21.19,16.86,185,51.2866,27.1284,21.5849,96.8,100,95.5,94,
1967,山西省,44.9,14.3,20.7,9.8,233,31.8486,46.1024,21.8263,90.3,106.5,80.6,88.8,
1967,内蒙古自治区,31.8,13.87,10.43,7.5,233,43.6164,32.7987,23.5849,83.3,81.1,81.2,91.2,
1967,中国,1794.2,714.2,608,472,238,39.8,33.9,26.3,94.3,101.89,85.7,100.53,91.9
1967,辽宁省,93.35,22.6,51.65,19.1,323,24.21,55.3294,20.4606,83.5,101.2,75.7,96.8,
1967,吉林省,44.25,17.66,17.48,9.11,257,39.9096,39.5028,20.5876,92.6,108.6,83.3,96.1,
1967,黑龙江省,90.91,25.98,45.07,19.86,409,28.5777,49.5765,21.8458,101.4,111.6,92.6,97.9,
1967,上海市,110.04,7.2,79.51,23.33,999,6.5431,72.2555,21.2014,91.69,99.59,88.81,100.61,
1967,江苏省,99.2,44.13,29.53,25.54,206,44.4859,29.7681,25.746,91.8,92.7,84.4,97.4,
1967,浙江省,56.35,27.55,15.69,13.11,184,48.8909,27.8438,23.2653,96.65,98.63,92.36,98.66,
1967,安徽省,56.88,34.21,12.11,10.56,164,60.1442,21.2904,18.5654,100.48,107.05,72.46,103.47,
1967,福建省,29.25,13.82,8.04,7.39,159,47.2479,27.4872,25.265,90.9,91,83.7,100.6,
1967,江西省,44.46,25.17,9.93,9.36,192,56.6127,22.3347,21.0526,95.1,97.1,88.5,91.3,
1967,山东省,99.44,46.71,35.43,17.3,168,46.973,35.6295,17.3974,102.32,99.4,107.82,97.37,
1967,河南省,78.54,41.13,22.82,14.59,144.2,52.3682,29.0553,18.5765,104.5,114.6,85.7,99.9,
1967,湖北省,78.92,43.65,20.88,14.39,216,55.3092,26.4572,18.2337,94.2,95.4,85,106.1,
1967,湖南省,73.51,40.07,19.89,13.55,181,54.5096,27.0575,18.4329,100.3,107.4,91.1,101.8,
1967,广东省,95.99,41.82,31.56,22.61,237.89,43.567,32.8784,23.5545,100.2,102,97.59,99.81,
1967,广西壮族自治区,31.18,17.51,6.96,6.71,121.88,56.1578,22.322,21.5202,98.74,105.71,83.4,104.56,
1967,四川省,89.28,54.94,15.98,18.36,162,61.5367,17.8987,20.5645,,,,,
1967,贵州省,23.99,15.91,4.66,3.42,125,66.3193,19.4248,14.2559,95.7,108,78.1,88.9,
1967,云南省,34.18,18.49,10.17,5.52,151,54.096,29.7542,16.1498,92.1,100.6,81,93.4,
1967,陕西省,36.84,16.85,12.23,7.76,166,45.7383,33.1976,21.0641,91.5,100.5,76.6,103.2,
1967,甘肃省,23.08,6.77,11.92,4.39,160,29.3328,51.6464,19.0208,84.71,99.83,72.39,96.82,
1967,青海省,6.95,3.65,1.57,1.73,281,52.518,22.5899,24.8921,106.79,114.6,96.44,104.54,
1967,宁夏回族自治区,5.47,2.62,1.63,1.22,228,47.8976,29.7989,22.3035,95,106.7,87,90,
1967,新疆维吾尔自治区,22.45,10.91,7.51,4.03,259,48.5969,33.4521,17.951,84.4,76,88.9,104.5,
1968,北京市,37.82,5.48,22.13,10.21,484,14.4897,58.514,26.9963,99.2,101.1,98.1,101.5,
1968,天津市,34.77,3.6,21.26,9.91,535,10.3538,61.1447,28.5016,107.9,103,109.1,108.1,
1968,河北省,79.43,40.35,23.01,16.07,185,50.7994,28.9689,20.2317,101.8,97.3,110.9,95.3,
1968,山西省,36.8,13.7,14.2,8.9,187,37.2283,38.587,24.1848,83.9,87.2,77.1,90.5,
1968,内蒙古自治区,32.96,14.87,10.54,7.55,235,45.1153,31.9782,22.9066,99.9,98.9,102.6,98.3,
1968,中国,1744.1,726.3,542.6,475.2,225,41.6,31.1,27.2,95.91,98.39,90.77,100.66,93.44
1968,辽宁省,86.89,23.5,45.05,18.34,295,27.0457,51.8472,21.1071,99.9,101.1,101,95.5,
